666
1 2 3
1 3 5
1 4 7
1 5 9
1 6 11
1 7 13
1 8 15
1 9 17
1 10 19
1 11 21
1 12 23
1 13 25
1 14 27
1 15 29
1 16 31
1 17 33
1 18 35
1 19 37
1 20 19
1 21 18
1 22 17
1 23 16
1 24 15
1 25 14
1 26 13
1 27 12
1 28 11
1 29 10
1 30 9
1 31 8
1 32 7
1 33 6
1 34 5
1 35 4
1 36 3
1 37 2
2 3 4
2 4 6
2 5 8
2 6 10
2 7 12
2 8 14
2 9 16
2 10 18
2 11 20
2 12 22
2 13 24
2 14 26
2 15 28
2 16 30
2 17 32
2 18 34
2 19 36
2 20 1
2 21 20
2 22 19
2 23 18
2 24 17
2 25 16
2 26 15
2 27 14
2 28 13
2 29 12
2 30 11
2 31 10
2 32 9
2 33 8
2 34 7
2 35 6
2 36 5
2 37 4
3 4 5
3 5 7
3 6 9
3 7 11
3 8 13
3 9 15
3 10 17
3 11 19
3 12 21
3 13 23
3 14 25
3 15 27
3 16 29
3 17 31
3 18 33
3 19 35
3 20 37
3 21 2
3 22 21
3 23 20
3 24 19
3 25 18
3 26 17
3 27 16
3 28 15
3 29 14
3 30 13
3 31 12
3 32 11
3 33 10
3 34 9
3 35 8
3 36 7
3 37 6
4 5 6
4 6 8
4 7 10
4 8 12
4 9 14
4 10 16
4 11 18
4 12 20
4 13 22
4 14 24
4 15 26
4 16 28
4 17 30
4 18 32
4 19 34
4 20 36
4 21 1
4 22 3
4 23 22
4 24 21
4 25 20
4 26 19
4 27 18
4 28 17
4 29 16
4 30 15
4 31 14
4 32 13
4 33 12
4 34 11
4 35 10
4 36 9
4 37 8
5 6 7
5 7 9
5 8 11
5 9 13
5 10 15
5 11 17
5 12 19
5 13 21
5 14 23
5 15 25
5 16 27
5 17 29
5 18 31
5 19 33
5 20 35
5 21 37
5 22 2
5 23 4
5 24 23
5 25 22
5 26 21
5 27 20
5 28 19
5 29 18
5 30 17
5 31 16
5 32 15
5 33 14
5 34 13
5 35 12
5 36 11
5 37 10
6 7 8
6 8 10
6 9 12
6 10 14
6 11 16
6 12 18
6 13 20
6 14 22
6 15 24
6 16 26
6 17 28
6 18 30
6 19 32
6 20 34
6 21 36
6 22 1
6 23 3
6 24 5
6 25 24
6 26 23
6 27 22
6 28 21
6 29 20
6 30 19
6 31 18
6 32 17
6 33 16
6 34 15
6 35 14
6 36 13
6 37 12
7 8 9
7 9 11
7 10 13
7 11 15
7 12 17
7 13 19
7 14 21
7 15 23
7 16 25
7 17 27
7 18 29
7 19 31
7 20 33
7 21 35
7 22 37
7 23 2
7 24 4
7 25 6
7 26 25
7 27 24
7 28 23
7 29 22
7 30 21
7 31 20
7 32 19
7 33 18
7 34 17
7 35 16
7 36 15
7 37 14
