3570
1 2 3
1 3 5
1 4 7
1 5 9
1 6 11
1 7 13
1 8 15
1 9 17
1 10 19
1 11 21
1 12 23
1 13 25
1 14 27
1 15 29
1 16 31
1 17 33
1 18 35
1 19 37
1 20 39
1 21 41
1 22 43
1 23 45
1 24 47
1 25 49
1 26 51
1 27 53
1 28 55
1 29 57
1 30 59
1 31 61
1 32 63
1 33 65
1 34 67
1 35 69
1 36 71
1 37 73
1 38 75
1 39 77
1 40 79
1 41 81
1 42 83
1 43 85
1 44 43
1 45 42
1 46 41
1 47 40
1 48 39
1 49 38
1 50 37
1 51 36
1 52 35
1 53 34
1 54 33
1 55 32
1 56 31
1 57 30
1 58 29
1 59 28
1 60 27
1 61 26
1 62 25
1 63 24
1 64 23
1 65 22
1 66 21
1 67 20
1 68 19
1 69 18
1 70 17
1 71 16
1 72 15
1 73 14
1 74 13
1 75 12
1 76 11
1 77 10
1 78 9
1 79 8
1 80 7
1 81 6
1 82 5
1 83 4
1 84 3
1 85 2
2 3 4
2 4 6
2 5 8
2 6 10
2 7 12
2 8 14
2 9 16
2 10 18
2 11 20
2 12 22
2 13 24
2 14 26
2 15 28
2 16 30
2 17 32
2 18 34
2 19 36
2 20 38
2 21 40
2 22 42
2 23 44
2 24 46
2 25 48
2 26 50
2 27 52
2 28 54
2 29 56
2 30 58
2 31 60
2 32 62
2 33 64
2 34 66
2 35 68
2 36 70
2 37 72
2 38 74
2 39 76
2 40 78
2 41 80
2 42 82
2 43 84
2 44 1
2 45 44
2 46 43
2 47 42
2 48 41
2 49 40
2 50 39
2 51 38
2 52 37
2 53 36
2 54 35
2 55 34
2 56 33
2 57 32
2 58 31
2 59 30
2 60 29
2 61 28
2 62 27
2 63 26
2 64 25
2 65 24
2 66 23
2 67 22
2 68 21
2 69 20
2 70 19
2 71 18
2 72 17
2 73 16
2 74 15
2 75 14
2 76 13
2 77 12
2 78 11
2 79 10
2 80 9
2 81 8
2 82 7
2 83 6
2 84 5
2 85 4
3 4 5
3 5 7
3 6 9
3 7 11
3 8 13
3 9 15
3 10 17
3 11 19
3 12 21
3 13 23
3 14 25
3 15 27
3 16 29
3 17 31
3 18 33
3 19 35
3 20 37
3 21 39
3 22 41
3 23 43
3 24 45
3 25 47
3 26 49
3 27 51
3 28 53
3 29 55
3 30 57
3 31 59
3 32 61
3 33 63
3 34 65
3 35 67
3 36 69
3 37 71
3 38 73
3 39 75
3 40 77
3 41 79
3 42 81
3 43 83
3 44 85
3 45 2
3 46 45
3 47 44
3 48 43
3 49 42
3 50 41
3 51 40
3 52 39
3 53 38
3 54 37
3 55 36
3 56 35
3 57 34
3 58 33
3 59 32
3 60 31
3 61 30
3 62 29
3 63 28
3 64 27
3 65 26
3 66 25
