1275
1 2 3
1 3 5
1 4 7
1 5 9
1 6 11
1 7 13
1 8 15
1 9 17
1 10 19
1 11 21
1 12 23
1 13 25
1 14 27
1 15 29
1 16 31
1 17 33
1 18 35
1 19 37
1 20 39
1 21 41
1 22 43
1 23 45
1 24 47
1 25 49
1 26 51
1 27 26
1 28 25
1 29 24
1 30 23
1 31 22
1 32 21
1 33 20
1 34 19
1 35 18
1 36 17
1 37 16
1 38 15
1 39 14
1 40 13
1 41 12
1 42 11
1 43 10
1 44 9
1 45 8
1 46 7
1 47 6
1 48 5
1 49 4
1 50 3
1 51 2
2 3 4
2 4 6
2 5 8
2 6 10
2 7 12
2 8 14
2 9 16
2 10 18
2 11 20
2 12 22
2 13 24
2 14 26
2 15 28
2 16 30
2 17 32
2 18 34
2 19 36
2 20 38
2 21 40
2 22 42
2 23 44
2 24 46
2 25 48
2 26 50
2 27 1
2 28 27
2 29 26
2 30 25
2 31 24
2 32 23
2 33 22
2 34 21
2 35 20
2 36 19
2 37 18
2 38 17
2 39 16
2 40 15
2 41 14
2 42 13
2 43 12
2 44 11
2 45 10
2 46 9
2 47 8
2 48 7
2 49 6
2 50 5
2 51 4
3 4 5
3 5 7
3 6 9
3 7 11
3 8 13
3 9 15
3 10 17
3 11 19
3 12 21
3 13 23
3 14 25
3 15 27
3 16 29
3 17 31
3 18 33
3 19 35
3 20 37
3 21 39
3 22 41
3 23 43
3 24 45
3 25 47
3 26 49
3 27 51
3 28 2
3 29 28
3 30 27
3 31 26
3 32 25
3 33 24
3 34 23
3 35 22
3 36 21
3 37 20
3 38 19
3 39 18
3 40 17
3 41 16
3 42 15
3 43 14
3 44 13
3 45 12
3 46 11
3 47 10
3 48 9
3 49 8
3 50 7
3 51 6
4 5 6
4 6 8
4 7 10
4 8 12
4 9 14
4 10 16
4 11 18
4 12 20
4 13 22
4 14 24
4 15 26
4 16 28
4 17 30
4 18 32
4 19 34
4 20 36
4 21 38
4 22 40
4 23 42
4 24 44
4 25 46
4 26 48
4 27 50
4 28 1
4 29 3
4 30 29
4 31 28
4 32 27
4 33 26
4 34 25
4 35 24
4 36 23
4 37 22
4 38 21
4 39 20
4 40 19
4 41 18
4 42 17
4 43 16
4 44 15
4 45 14
4 46 13
4 47 12
4 48 11
4 49 10
4 50 9
4 51 8
5 6 7
5 7 9
5 8 11
5 9 13
5 10 15
5 11 17
5 12 19
5 13 21
5 14 23
5 15 25
5 16 27
5 17 29
5 18 31
5 19 33
5 20 35
5 21 37
5 22 39
5 23 41
5 24 43
5 25 45
5 26 47
5 27 49
5 28 51
5 29 2
5 30 4
5 31 30
5 32 29
5 33 28
5 34 27
5 35 26
5 36 25
5 37 24
5 38 23
5 39 22
5 40 21
5 41 20
