2346
1 2 3
1 3 5
1 4 7
1 5 9
1 6 11
1 7 13
1 8 15
1 9 17
1 10 19
1 11 21
1 12 23
1 13 25
1 14 27
1 15 29
1 16 31
1 17 33
1 18 35
1 19 37
1 20 39
1 21 41
1 22 43
1 23 45
1 24 47
1 25 49
1 26 51
1 27 53
1 28 55
1 29 57
1 30 59
1 31 61
1 32 63
1 33 65
1 34 67
1 35 69
1 36 35
1 37 34
1 38 33
1 39 32
1 40 31
1 41 30
1 42 29
1 43 28
1 44 27
1 45 26
1 46 25
1 47 24
1 48 23
1 49 22
1 50 21
1 51 20
1 52 19
1 53 18
1 54 17
1 55 16
1 56 15
1 57 14
1 58 13
1 59 12
1 60 11
1 61 10
1 62 9
1 63 8
1 64 7
1 65 6
1 66 5
1 67 4
1 68 3
1 69 2
2 3 4
2 4 6
2 5 8
2 6 10
2 7 12
2 8 14
2 9 16
2 10 18
2 11 20
2 12 22
2 13 24
2 14 26
2 15 28
2 16 30
2 17 32
2 18 34
2 19 36
2 20 38
2 21 40
2 22 42
2 23 44
2 24 46
2 25 48
2 26 50
2 27 52
2 28 54
2 29 56
2 30 58
2 31 60
2 32 62
2 33 64
2 34 66
2 35 68
2 36 1
2 37 36
2 38 35
2 39 34
2 40 33
2 41 32
2 42 31
2 43 30
2 44 29
2 45 28
2 46 27
2 47 26
2 48 25
2 49 24
2 50 23
2 51 22
2 52 21
2 53 20
2 54 19
2 55 18
2 56 17
2 57 16
2 58 15
2 59 14
2 60 13
2 61 12
2 62 11
2 63 10
2 64 9
2 65 8
2 66 7
2 67 6
2 68 5
2 69 4
3 4 5
3 5 7
3 6 9
3 7 11
3 8 13
3 9 15
3 10 17
3 11 19
3 12 21
3 13 23
3 14 25
3 15 27
3 16 29
3 17 31
3 18 33
3 19 35
3 20 37
3 21 39
3 22 41
3 23 43
3 24 45
3 25 47
3 26 49
3 27 51
3 28 53
3 29 55
3 30 57
3 31 59
3 32 61
3 33 63
3 34 65
3 35 67
3 36 69
3 37 2
3 38 37
3 39 36
3 40 35
3 41 34
3 42 33
3 43 32
3 44 31
3 45 30
3 46 29
3 47 28
3 48 27
3 49 26
3 50 25
3 51 24
3 52 23
3 53 22
3 54 21
3 55 20
3 56 19
3 57 18
3 58 17
3 59 16
3 60 15
3 61 14
3 62 13
3 63 12
3 64 11
3 65 10
3 66 9
3 67 8
3 68 7
3 69 6
4 5 6
4 6 8
4 7 10
4 8 12
4 9 14
4 10 16
4 11 18
4 12 20
4 13 22
4 14 24
4 15 26
4 16 28
4 17 30
4 18 32
4 19 34
4 20 36
4 21 38
4 22 40
4 23 42
4 24 44
4 25 46
4 26 48
4 27 50
4 28 52
4 29 54
4 30 56
4 31 58
4 32 60
4 33 62
