4278
1 2 3
1 3 5
1 4 7
1 5 9
1 6 11
1 7 13
1 8 15
1 9 17
1 10 19
1 11 21
1 12 23
1 13 25
1 14 27
1 15 29
1 16 31
1 17 33
1 18 35
1 19 37
1 20 39
1 21 41
1 22 43
1 23 45
1 24 47
1 25 49
1 26 51
1 27 53
1 28 55
1 29 57
1 30 59
1 31 61
1 32 63
1 33 65
1 34 67
1 35 69
1 36 71
1 37 73
1 38 75
1 39 77
1 40 79
1 41 81
1 42 83
1 43 85
1 44 87
1 45 89
1 46 91
1 47 93
1 48 47
1 49 46
1 50 45
1 51 44
1 52 43
1 53 42
1 54 41
1 55 40
1 56 39
1 57 38
1 58 37
1 59 36
1 60 35
1 61 34
1 62 33
1 63 32
1 64 31
1 65 30
1 66 29
1 67 28
1 68 27
1 69 26
1 70 25
1 71 24
1 72 23
1 73 22
1 74 21
1 75 20
1 76 19
1 77 18
1 78 17
1 79 16
1 80 15
1 81 14
1 82 13
1 83 12
1 84 11
1 85 10
1 86 9
1 87 8
1 88 7
1 89 6
1 90 5
1 91 4
1 92 3
1 93 2
2 3 4
2 4 6
2 5 8
2 6 10
2 7 12
2 8 14
2 9 16
2 10 18
2 11 20
2 12 22
2 13 24
2 14 26
2 15 28
2 16 30
2 17 32
2 18 34
2 19 36
2 20 38
2 21 40
2 22 42
2 23 44
2 24 46
2 25 48
2 26 50
2 27 52
2 28 54
2 29 56
2 30 58
2 31 60
2 32 62
2 33 64
2 34 66
2 35 68
2 36 70
2 37 72
2 38 74
2 39 76
2 40 78
2 41 80
2 42 82
2 43 84
2 44 86
2 45 88
2 46 90
2 47 92
2 48 1
2 49 48
2 50 47
2 51 46
2 52 45
2 53 44
2 54 43
2 55 42
2 56 41
2 57 40
2 58 39
2 59 38
2 60 37
2 61 36
2 62 35
2 63 34
2 64 33
2 65 32
2 66 31
2 67 30
2 68 29
2 69 28
2 70 27
2 71 26
2 72 25
2 73 24
2 74 23
2 75 22
2 76 21
2 77 20
2 78 19
2 79 18
2 80 17
2 81 16
2 82 15
2 83 14
2 84 13
2 85 12
2 86 11
2 87 10
2 88 9
2 89 8
2 90 7
2 91 6
2 92 5
2 93 4
3 4 5
3 5 7
3 6 9
3 7 11
3 8 13
3 9 15
3 10 17
3 11 19
3 12 21
3 13 23
3 14 25
3 15 27
3 16 29
3 17 31
3 18 33
3 19 35
3 20 37
3 21 39
3 22 41
3 23 43
3 24 45
3 25 47
3 26 49
3 27 51
3 28 53
3 29 55
3 30 57
3 31 59
3 32 61
3 33 63
3 34 65
3 35 67
3 36 69
3 37 71
3 38 73
3 39 75
3 40 77
3 41 79
3 42 81
3 43 83
3 44 85
3 45 87
3 46 89
3 47 91
3 48 93
3 49 2
3 50 49
